#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2017-05-29 12:52:19"
#data_read_from_db	"2018-08-23 11:02:46"
#database_id	48
#datapoints_in_db	249345
#database_reference_id	0
#integrated_value	0.018	6.3
#sample_label	"iri_flake_paper"
#sample_name	"Iridescent_flake_paper"
#lamp	"Halogen_12V"
#beamshape	"det,f=300,a=1"
#filterlamp	"IRcutoff"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: do_meas_batch.c,v 1.34 2014/02/05 12:16:00 apian Exp apian $daq serial[0]="007" (channel minimum)|autochanger5 place=1|optfile=epfl-ultrafine|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.11 2017/05/26 15:43:23 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=4 poweron=516 [h] last_change=63 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	30	0
#intheta	30
#inphi	0
#front_integral	0.0175
#incident_and_front_integral	30	0	0.0175
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	249290
#format: theta	phi	[uA]
32.2957  4.25239  0.0554483
34.2715  4.11608  0.0527028
28.9627  4.74327  0.0593157
29.8308  4.6176  0.0583509
27.5933  5.87998  0.0547368
26.8091  6.57862  0.0562706
27.2484  6.59769  0.0582702
28.5419  6.05651  0.0577279
30.7393  5.95419  0.0534146
49.0983  4.09359  0.0589744
49.0433  4.07152  0.0599527
45.5857  4.82756  0.0594309
44.5987  4.22252  0.0558307
26.938  6.93504  0.0553852
30.2463  5.36111  0.0559638
25.3988  8.06313  0.0564438
36.8447  5.95276  0.0567513
29.6826  7.01509  0.0533171
27.6547  6.51833  0.0548612
43.9521  5.93409  0.0336757
41.933  6.12156  0.0380059
84.2689  176.433  0.0355477
88.6941  176.391  0.0369029
87.7423  176.299  0.042994
78.9331  3.44301  0.0470378
44.734  3.6029  0.046296
40.6009  3.61052  0.0479851
40.545  3.59699  0.0522234
47.4234  3.49499  0.0519307
36.2576  4.13873  0.0526858
50.0539  2.83238  0.0533939
50.7102  2.71833  0.0540616
66.9545  2.04207  0.0522507
74.7528  2.19993  0.0542554
59.9707  3.03171  0.053962
57.181  2.98408  0.0557453
46.0284  3.48738  0.0518357
45.9725  3.47264  0.0504665
39.7167  3.83534  0.0562162
37.6398  4.24263  0.0547319
32.2731  5.33636  0.0531678
33.1194  5.04942  0.0553523
41.4054  4.19265  0.058774
33.1787  4.69867  0.0504019
30.9723  5.21825  0.0554863
36.1026  4.47288  0.0568473
29.9349  5.47565  0.0580799
29.8788  5.45492  0.0523032
30.268  4.50215  0.0524977
40.9597  2.95122  0.0549663
31.6584  4.13044  0.0561577
28.9376  4.60253  0.0560555
28.2876  4.32437  0.0567384
42.1776  2.84027  0.0524441
40.834  2.72921  0.0543145
44.6908  2.81091  0.0585835
53.7742  2.62067  0.0561619
53.718  2.60739  0.0510567
38.6123  3.65871  0.0549575
30.7412  4.51379  0.058731
30.5089  4.53607  0.0566987
27.7511  5.96505  0.0540424
29.6956  6.33834  0.053618
26.0283  7.73301  0.0579562
28.6278  6.35379  0.060885
45.2218  4.06144  0.0510709
44.6139  4.37319  0.0551207
44.5587  4.35024  0.0581942
34.0926  6.05417  0.0576679
26.2007  7.67926  0.0518246
27.3507  6.92413  0.0566978
29.5984  5.98572  0.0569536
24.6367  8.71916  0.0553163
22.849  10.451  0.0527625
24.6667  8.93731  0.058429
28.1697  6.67804  0.0539277
29.2492  6.25716  0.0488262
29.1935  6.22622  0.0532958
28.2284  6.90084  0.0579699
27.2604  7.5712  0.0591064
27.1618  7.66133  0.0555782
30.2627  5.96124  0.0538405
39.6988  176.736  0.0580898
39.7546  176.762  0.0588511
39.5873  176.684  0.0572559
39.643  176.71  0.0523689
33.2201  8.29535  0.0319112
47.5942  5.1477  0.0382076
81.3257  176.711  0.0414921
85.1535  176.588  0.0320032
83.0161  3.40973  0.0359684
46.2829  3.53194  0.040715
51.7606  3.29151  0.0472652
44.2476  3.17768  0.0501197
33.44  3.7784  0.0471974
28.3133  5.05924  0.0500887
32.0348  4.35689  0.0486359
53.9601  2.45632  0.0522665
64.893  2.02012  0.0484888
62.1245  2.35826  0.0531438
67.5216  2.94199  0.0545457
66.7624  2.58464  0.0519368
67.7284  2.58992  0.051359
67.6727  2.57758  0.05544
35.9272  4.19158  0.053933
36.0652  4.17509  0.0517334
31.5639  5.19585  0.0508905
31.2049  5.18544  0.0547475
31.5922  5.16897  0.0573107
31.4414  4.91957  0.0521857
35.1606  4.31905  0.0539862
33.8203  4.58867  0.0598501
31.1878  4.48318  0.0581806
31.1314  4.46588  0.053787
31.4332  3.81153  0.0542965
51.6179  2.38507  0.0575852
40.3397  3.35186  0.0541293
26.7335  4.80159  0.0567685
33.5078  3.44323  0.0579223
29.2047  3.74219  0.0577237
30.1863  3.59738  0.0541142
34.2211  3.42309  0.0595107
48.6921  2.78916  0.0559581
48.6358  2.77533  0.048999
29.7811  4.3358  0.0547449
30.7422  4.34678  0.0599942
31.9051  4.17912  0.0546376
35.0635  4.62302  0.0517816
26.1847  7.39207  0.0590028
26.6736  7.4215  0.0556231
29.1551  6.20228  0.0580256
47.6395  3.99873  0.0504595
35.2342  5.74916  0.054715
35.1791  5.72141  0.0570563
39.3893  5.26497  0.0558012
25.8361  8.08663  0.0516192
27.4513  7.10716  0.0550823
25.9881  7.77088  0.0573496
25.8602  8.13984  0.0554188
22.0461  11.9897  0.0513536
24.3674  9.68843  0.0570908
28.2875  6.98213  0.0573532
29.8119  6.32175  0.0493312
29.7564  6.2902  0.0519727
27.7724  7.45854  0.0600975
25.7611  9.02989  0.0548268
28.178  7.36832  0.0499261
32.3047  5.86113  0.0546925
38.182  4.54968  0.0614072
50.0951  3.72046  0.0606434
36.8195  5.38691  0.0523689
27.9475  6.22206  0.0525574
30.859  4.47714  0.0617743
40.0341  176.892  0.079963
40.09  176.918  0.0893738
40.146  176.944  0.0739375
32.8561  8.45749  0.015314
32.8016  8.4304  0.0302448
68.4411  177.794  0.0384093
82.5516  177.03  0.0423352
74.788  3.17518  0.0347137
25.5258  6.14216  0.0385899
49.4795  3.48999  0.0358575
63.0349  2.74357  0.0367759
66.3086  2.73045  0.0373101
45.5496  3.19869  0.0401537
39.6504  3.46597  0.0439791
33.1072  3.76443  0.0448868
38.264  3.35248  0.0480781
62.7877  2.02282  0.0457168
57.5674  2.46485  0.0512007
51.8412  3.23759  0.050847
67.1242  2.52569  0.0499137
62.0647  2.48339  0.0496732
62.0088  2.47186  0.0536202
43.2768  3.18004  0.0579304
31.4603  4.96639  0.0520786
32.3675  4.54794  0.0538403
29.616  5.39967  0.0560426
30.2079  5.35667  0.0575248
33.0957  4.06587  0.0525821
35.3437  3.98416  0.0529861
34.6064  4.35536  0.0562467
37.8208  3.54732  0.0609
37.7645  3.53238  0.0529956
31.8604  3.70273  0.0544963
40.6767  2.69494  0.0544627
41.5279  2.91044  0.0546364
32.7754  4.06104  0.0612499
31.0478  3.76911  0.0564424
31.8213  3.23752  0.0525457
31.6014  3.1928  0.0521105
30.201  3.77258  0.0563169
37.1258  3.55384  0.0516765
37.0693  3.53775  0.0503365
44.1198  3.04411  0.0567646
37.5132  3.40798  0.0592574
35.3073  3.92964  0.0510665
38.7511  4.26387  0.0532099
39.62  4.77289  0.0570144
37.2615  4.63196  0.0582541
28.6871  6.37805  0.0546297
34.0887  5.68603  0.057149
33.474  6.05234  0.0601596
33.4188  6.02368  0.0560086
25.6139  8.47135  0.0516453
24.1322  9.75411  0.0572027
24.4715  9.47429  0.0571516
84.0633  171.005  0.0537787
68.2176  179.785  0.0508505
22.2075  12.0582  0.0547176
24.5993  9.88034  0.0541353
29.7245  6.59193  0.0495332
32.003  5.71411  0.0485232
31.9474  5.68509  0.0534994
27.5254  7.90964  0.0584126
26.9918  8.43729  0.0591833
28.2562  7.55672  0.0508336
35.7865  5.38811  0.0576826
30.374  6.2052  0.0599075
50.2793  3.77443  0.0524687
29.6514  6.82964  0.0555186
27.5137  6.51396  0.0412986
30.8349  4.54411  0.0575291
30.8898  4.0464  0.099691
30.8332  4.02383  0.0724065
24.3126  5.58676  0.0608213
19.3385  8.05435  0.0602821
40.258  176.996  0.0627914
40.314  177.021  0.0677054
40.3701  177.047  0.0682844
40.4262  177.072  0.0674416
56.8919  4.207  0.0345579
56.8374  4.19003  0.0379051
69.0455  2.69163  0.0434587
54.285  3.3466  0.032733
16.6446  9.18327  0.032508
20.7187  6.8689  0.032629
30.7878  3.75256  0.028228
41.5241  3.54939  0.031831
36.6582  3.35998  0.0325501
65.3163  2.30951  0.0354124
52.7259  2.54977  0.039751
36.0173  3.95831  0.0421245
50.6067  2.74411  0.0346993
50.5506  2.73214  0.040679
45.2774  2.80223  0.0440585
32.2771  4.25094  0.0442644
28.9122  5.48446  0.0496068
29.616  5.39967  0.0502871
31.0172  4.66896  0.0529204
34.0887  3.53093  0.0481859
30.264  4.42398  0.053344
36.3696  3.91543  0.0541519
36.3134  3.89931  0.0546368
34.9354  3.80017  0.0538967
33.6431  3.33817  0.0533547
31.6688  3.19937  0.0547378
35.5038  3.16717  0.0492757
33.2082  3.88375  0.0568703
40.776  3.07192  0.0572317
42.2169  2.83269  0.0507181
31.6111  3.25677  0.0509083
37.0349  3.02897  0.0562138
35.5565  3.67654  0.0526959
35.5001  3.66018  0.0512624
50.906  2.87475  0.0569772
36.5255  3.37662  0.0589416
31.2259  4.54741  0.0516617
43.8105  3.74118  0.0538221
42.8765  4.29211  0.0570144
31.3858  5.78586  0.0565702
27.539  7.02213  0.0525716
26.921  7.45904  0.0585688
39.6681  5.17914  0.0593321
39.6132  5.15287  0.0558012
24.0786  9.72559  0.0589193
69.221  179.879  0.0596261
24.9903  9.08315  0.0536762
23.9051  10.2689  0.0525613
23.1991  11.3498  0.0548191
26.8458  8.48063  0.0571456
30.2484  6.60942  0.0514521
32.5522  5.77813  0.0532958
32.4968  5.74858  0.0573587
30.4329  6.75232  0.0583728
29.3725  7.30863  0.0498253
29.5503  7.16122  0.0560879
34.8996  5.47651  0.0592076
42.2398  4.29421  0.0587077
43.1295  4.52483  0.0506716
39.6085  5.15034  0.0549064
27.6912  6.57549  0.0456657
30.8838  4.67979  0.0624513
28.0314  5.15452  0.0998854
27.9751  5.12673  0.0806354
24.7093  5.58325  0.0602204
21.5346  6.45218  0.0576994
70.937  179.948  0.0618018
21.0416  4.157  0.0670058
20.3753  3.09675  0.0664155
15.6117  3.43936  0.0681937
9.864  5.07921  0.0673056
7.91701  141.379  0.0657932
9.02656  146.468  0.0658579
8.96925  146.523  0.0610953
6.54856  69.396  0.067443
75.9073  3.13011  0.0239931
43.4611  4.95764  0.0360283
43.4061  4.93956  0.0384093
88.3683  2.82041  0.0335566
40.4403  4.42844  0.0343832
37.6237  3.12798  0.0260502
30.9641  4.92242  0.0296038
36.6166  3.41773  0.0283921
37.1053  3.2811  0.0340239
45.5241  2.79903  0.0367808
32.5831  4.16188  0.0359538
33.2015  3.69168  0.0313277
33.1452  3.67815  0.0344107
35.7219  3.19134  0.0354442
31.2896  4.2236  0.0384181
26.9562  5.76451  0.0415075
30.2587  4.68054  0.0433196
32.4611  3.83612  0.0451498
33.9818  3.37182  0.04914
31.0178  3.85705  0.0507275
29.3503  4.18912  0.0515332
29.2938  4.1735  0.050381
29.2849  3.95082  0.0522978
34.7875  2.83763  0.053959
43.435  2.19879  0.0548393
39.8681  2.80479  0.0506942
39.5462  2.90908  0.0594022
39.5815  2.83546  0.0511243
40.8983  2.66276  0.0522107
32.4437  3.15115  0.0546858
40.5795  2.93594  0.056832
37.067  3.71279  0.0514726
37.0107  3.69598  0.0486904
43.8358  3.31506  0.0557016
35.8908  3.70578  0.0565204
32.6563  4.23513  0.0528521
56.4599  3.07371  0.0569848
46.0443  3.81678  0.0563864
32.9334  5.06999  0.0580436
29.827  5.80789  0.0540123
28.4051  6.66196  0.0583659
25.7926  8.32929  0.0582976
25.7372  8.2939  0.0556975
23.012  10.8204  0.0511275
68.2324  179.862  0.06003
25.0852  9.16013  0.0583394
25.8886  8.60353  0.0542913
24.789  9.63214  0.0521587
24.6936  10.0567  0.056444
26.5155  8.8723  0.0540315
29.0284  7.44546  0.0514521
33.7636  5.49554  0.0551279
33.7082  5.4668  0.0617384
31.5644  6.39868  0.0587781
28.9441  7.80664  0.0497245
39.4417  5.25788  0.0597075
32.8807  5.58879  0.0559787
37.5845  5.18402  0.0525599
47.0896  4.58804  0.0448532
29.4684  6.28453  0.0627526
27.9423  6.05132  0.108536
27.6846  5.50306  0.112493
27.6284  5.47381  0.0865679
21.5331  8.12512  0.0702297
21.1758  7.03612  0.0641561
21.7929  5.25122  0.0646716
19.673  5.32381  0.0711031
15.7204  6.67428  0.0663171
11.8555  10.2283  0.0681937
7.52293  85.4466  0.0688324
7.43896  89.0372  0.0736759
7.40234  94.4175  0.0748493
7.34473  94.466  0.0705211
7.63029  107.708  0.0686784
3.51017  70.4861  0.0700253
6.87695  165.708  0.0686214
6.54637  167.595  0.0656752
5.45632  161.717  0.0674774
6.79041  165.688  0.0707504
7.46593  167.076  0.0680154
10.5657  172.224  0.065271
41.1571  177.4  0.0641226
41.2135  177.424  0.061377
41.2698  177.449  0.0596504
41.1008  177.375  0.0578839
31.0422  7.04004  0.0267118
60.2422  3.11006  0.035146
60.1869  3.0973  0.0402244
35.3286  3.46286  0.027714
49.8827  2.97572  0.0296289
42.784  2.8804  0.0271051
31.1464  3.73026  0.028371
32.2341  3.31634  0.0315651
37.1382  2.78836  0.03269
31.8234  3.47358  0.0318064
32.8205  3.25733  0.0303361
32.764  3.24547  0.0341074
34.151  2.92052  0.0307905
32.0926  3.33784  0.0290439
27.1974  4.81087  0.0298014
30.1289  3.93157  0.0389303
29.2417  4.16146  0.0399506
28.4333  4.31208  0.0415653
28.3768  4.29629  0.0420154
29.2661  3.8176  0.0497285
36.1933  2.61436  0.0511883
42.2221  2.61313  0.0480598
32.2046  3.33305  0.0563437
35.4601  2.92145  0.052038
43.7357  2.38192  0.0499064
49.9607  2.38586  0.0542736
33.0333  3.36615  0.0538442
32.9766  3.35164  0.0519826
30.7829  4.13048  0.0557016
37.4443  3.77544  0.0589416
33.829  4.05365  0.0557693
38.6495  3.70974  0.0541282
38.6216  4.48417  0.0526998
33.6065  5.69919  0.0548166
27.6539  6.94788  0.0581488
29.5857  5.98127  0.0540123
28.8868  6.48996  0.057149
26.6838  7.72745  0.0597458
26.6284  7.69408  0.054453
22.8835  10.8698  0.0519559
23.4309  10.437  0.0591212
26.087  8.45808  0.0597251
26.7691  8.14714  0.0547013
24.896  9.8305  0.054574
23.7364  11.1257  0.0568502
26.1232  9.58243  0.0548619
32.3021  6.74235  0.0501392
33.3141  5.77677  0.0548225
